id,pose_x,pose_y,pose_z,rot_x,rot_y,rot_z,rot_w,command,
0,-0.226346,-1.318,9.53674e-07,0,0,0.687297,0.726377,
1,0.495232,-0.0876828,-9.53674e-07,0,0,0.208749,0.977969,
2,4.63264,2.81635,0,0,0,-0.0962217,0.99536,
3,6.15954,-0.787977,0,0,0,-0.773832,0.633391,
4,8.77048,-1.98815,0,0,0,-0.0899669,0.995945,
5,8.77209,1.50793,0,0,0,0.696233,0.717816,
6,13.4872,1.97616,-9.53674e-07,0,0,0.234245,0.972178,
7,19.7656,1.40393,0,0,0,-0.0810163,0.996713,
8,21.3222,4.60437,9.53674e-07,0,0,0.492996,0.870031,
9,23.5445,1.52459,0,0,0,-0.633213,0.773978,
10,31.2621,0.525787,-1.90735e-06,0,0,-0.0707944,0.997491,
11,24.5974,0.933122,0,0,0,0.999112,0.0421257,
12,8.58681,2.31739,0,0,0,-0.999775,0.0211912,
13,4.14763,1.01791,0,0,0,-0.903881,0.427784,
14,-0.253691,-0.10523,0,0,0,-0.774905,0.632078,
15,-0.331685,-1.38633,1.90735e-06,0,0,-0.718402,0.695628,
